sample_id,image_path,split,strip_id,batch_id,h2s_concentration_ppm,exposure_duration_min,cumulative_dose_ppm_hr,risk_band,label_source,source_citation,mapping_method,is_lab_validated,temperature_c,humidity_pct,lighting_type,distance_cm,device_model,flash_used,baseline_image_path,reference_patch_present,reference_patch_rgb_measured,reference_patch_rgb_known,corrected_strip_rgb,reference_patch_delta_e,lighting_uniformity_ok,quality_ok,protocol_version,notes
H2S-2026-0001,images/train/H2S-2026-0001_0ppm_baseline_daylight.png,train,STRIP-BATCHA-0ppm_baseline,BATCH-SYNTH-001,0.0,15.0,0.0,safe,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,21.0,51.2,daylight,10.0,Pixel_7,False,baselines/baseline_daylight.png,True,"[(251, 255, 254), (192, 185, 166), (221, 161, 100), (44, 31, 24)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(248, 245, 216)",0.0,False,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0002,images/train/H2S-2026-0002_0ppm_baseline_daylight.png,train,STRIP-BATCHA-0ppm_baseline,BATCH-SYNTH-001,0.0,15.0,0.0,safe,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,23.0,55.2,daylight,20.0,Pixel_7,False,baselines/baseline_daylight.png,True,"[(254, 255, 255), (189, 185, 171), (218, 164, 96), (47, 36, 24)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(245, 245, 215)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0003,images/validation/H2S-2026-0003_0ppm_baseline_daylight.png,validation,STRIP-BATCHA-0ppm_baseline,BATCH-SYNTH-001,0.0,15.0,0.0,safe,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,21.9,46.3,daylight,15.0,Samsung_A54,False,baselines/baseline_daylight.png,True,"[(255, 252, 255), (190, 191, 169), (218, 163, 95), (44, 34, 27)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(245, 247, 215)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0004,images/validation/H2S-2026-0004_0ppm_baseline_LED.png,validation,STRIP-BATCHA-0ppm_baseline,BATCH-SYNTH-001,0.0,15.0,0.0,safe,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,21.1,43.1,LED,10.0,Pixel_7,False,baselines/baseline_LED.png,True,"[(238, 246, 255), (155, 160, 164), (174, 144, 96), (37, 33, 29)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(247, 233, 212)",1.41,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0005,images/validation/H2S-2026-0005_0ppm_baseline_LED.png,validation,STRIP-BATCHA-0ppm_baseline,BATCH-SYNTH-001,0.0,15.0,0.0,safe,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,20.7,53.6,LED,20.0,Pixel_7,False,baselines/baseline_LED.png,True,"[(236, 244, 251), (157, 162, 167), (173, 139, 98), (38, 33, 29)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(249, 235, 215)",1.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0006,images/train/H2S-2026-0006_0ppm_baseline_LED.png,train,STRIP-BATCHA-0ppm_baseline,BATCH-SYNTH-001,0.0,15.0,0.0,safe,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,21.9,59.9,LED,15.0,Samsung_A54,False,baselines/baseline_LED.png,True,"[(242, 247, 255), (155, 158, 171), (179, 137, 93), (36, 28, 25)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(243, 233, 212)",0.0,False,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0007,images/holdout/H2S-2026-0007_0ppm_baseline_fluorescent.png,holdout,STRIP-BATCHA-0ppm_baseline,BATCH-SYNTH-001,0.0,15.0,0.0,safe,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,21.3,47.5,fluorescent,10.0,Pixel_7,False,baselines/baseline_fluorescent.png,True,"[(206, 231, 241), (128, 148, 157), (149, 133, 86), (33, 30, 22)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(240, 235, 206)",1.41,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0008,images/holdout/H2S-2026-0008_0ppm_baseline_fluorescent.png,holdout,STRIP-BATCHA-0ppm_baseline,BATCH-SYNTH-001,0.0,15.0,0.0,safe,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,21.8,59.6,fluorescent,20.0,Pixel_7,False,baselines/baseline_fluorescent.png,True,"[(200, 235, 234), (132, 155, 152), (147, 133, 87), (37, 32, 20)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(247, 231, 212)",1.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0009,images/holdout/H2S-2026-0009_0ppm_baseline_fluorescent.png,holdout,STRIP-BATCHA-0ppm_baseline,BATCH-SYNTH-001,0.0,15.0,0.0,safe,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,23.0,59.1,fluorescent,15.0,Samsung_A54,False,baselines/baseline_fluorescent.png,True,"[(202, 230, 233), (131, 148, 150), (152, 129, 93), (31, 26, 27)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(245, 236, 212)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0010,images/test/H2S-2026-0010_0ppm_baseline_dim_indoor.png,test,STRIP-BATCHA-0ppm_baseline,BATCH-SYNTH-001,0.0,15.0,0.0,safe,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,20.0,52.7,dim_indoor,10.0,Pixel_7,False,baselines/baseline_dim_indoor.png,True,"[(174, 151, 134), (115, 101, 89), (131, 83, 48), (27, 15, 14)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(246, 235, 207)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
